"code","group","desc"
"19384","C0184784","DISO","Fair therapeutic response"
"19385","C0341697","DISO","Renal impairment NOS"
"19386","C0474537","PHEN","Fecal occult blood: negative"
"19387","C0496739","DISO","Presence of cardiac pacemaker"
"19388","C0680269","DISO","Payment source"
"19389","C0720177","CHEM","Elimite"
"19390","RXNORM:670392","RXNORM","microchamber"
"19391","C0006846","DISO","Cutaneous Candidiasis"
"19392","C0282376","DISO","Assaultive Behavior"
"19393","C0745949","DISO","LOWER EXTREMITY VENOUS STASIS"
"19394","C1287110","DISO","Social and personal history finding"
"19395","C0729338","PROC","Care provision regimes"
"19396","C1306567","PHEN","Green light"
"19397","C0012084","CHEM","Dichlororibofuranosylbenzimidazole"
"19398","C0333278","DISO","Chronic hemorrhage"
"19399","C0994163","PROC","Cholangiopancreatography, Magnetic Resonance"
"19400","C1708109","DISO","Fungating Mass"
"19401","C0025748","CHEM","methylene chloride"
"19402","C0439061","PROC","Split thickness skin graft procedure"
"19403","Other lab:1200082980","Other lab","occult blood #3(before 12/1/12)"
"19404","C0221281","DISO","Poikilocytosis"
"19405","Other lab:1200091507","Other lab","amorphous crystals"
"19406","Other lab:1200103169","Other lab","plt estimate"
"19407","C0062525","CHEM","hepatitis B immune globulin"
"19408","C0203907","PROC","Effleurage"
"19409","C0392176","DISO","Gastric irritation"
"19410","C1548222","DISO","Bed Status - Contaminated"
"19411","C1709287","ACTI","Numb (emotional response)"
"19412","C2200472","DISO","Pain of right ankle joint"
"19413","C0743733","PROC","Eye laser surgery"
"19414","C0424630","DISO","Loss of body fat - finding"
"19415","C0541990","DISO","good effect"
"19416","C0233818","DISO","Impaired judgement"
"19417","C0578279","DISO","Does manage stairs"
"19418","C0876928","PHYS","Questioning"
"19419","C1277702","DISO","Sputum sample obtained"
"19420","Other lab:1000042057","Other lab","creatinine mg/dl"
"19421","C0423646","DISO","Site of abdominal pain"
"19422","C0023652","DISO","Lichen Sclerosus et Atrophicus"
"19423","C0009556","PROC","Total colonoscopy"
"19424","C0577961","DISO","Inspiratory crackles"
"19425","C0150318","PROC","Radiation therapy management"
"19426","RXNORM:1086019","RXNORM","flanders"
"19427","C0239667","DISO","Pain in forearm"
"19428","C0852859","PHEN","Blood culture negative"
"19429","C0020510","DISO","Nodular hyperplasia"
"19430","Other lab:1200108328","Other lab","ana pattern quest"
"19431","C0035930","CHEM","Rubidium"
"19432","C0443306","DISO","Spastic"
"19433","C2265291","PHEN","plant-type hypersensitive response"
"19434","Other lab:1400564720","Other lab","ig %"
"19435","C0239832","DISO","Numbness of hand"
"19436","C1515915","CHEM","Monarch (brand of allopurinol sodium)"
"19437","C0009269","DISO","Cold intolerance"
"19438","C0030125","CHEM","aminosalicylic acid"
"19439","C0591454","CHEM","Epipen"
"19440","C0679009","DISO","Consciousness:status"
"19441","C0948239","DISO","Vomiting of medication"
"19442","Other lab:1000047660","Other lab","hcv-ab"
"19443","C0005836","CHEM","Blood Substitutes"
"19444","C0281773","DISO","Acute glaucoma"
"19445","C0518608","DISO","Social confrontation skill"
"19446","C0153620","DISO","Malignant neoplasm of urethra"
"19447","C0599324","PROC","respiratory examination"
"19448","Other lab:1000055371","Other lab","ifobt 1 (5-31-12)"
"19449","C0015630","PHYS","Fantasy"
"19450","C0549322","DISO","Eyelid infection"
"19451","C0870372","PROC","creative arts therapy"
"19452","Other lab:1200043285","Other lab","barbiturates"
"19453","C0231442","DISO","Limitation of motion"
"19454","C0013839","PROC","Electromyography"
"19455","C0078039","PROC","doxorubicin/procarbazine/vincristine protocol"
"19456","C0304386","CHEM","Thiothixene hydrochloride"
"19457","Other lab:1000056212","Other lab","beta fraction"
"19458","C0270834","DISO","Complex partial seizure with impairment of consciousness"
"19459","C0496861","DISO","Benign neoplasm of ascending colon"
"19460","C1142985","CHEM","ezetimibe"
"19461","C0020565","DISO","Hypertrophy of Breast"
"19462","C1509231","CHEM","blue dye"
"19463","C0337050","PHEN","Rivers"
"19464","C0919947","DISO","Thoracic vertebral fracture"
"19465","C0014789","PROC","Erythrocyte Volume measurement"
"19466","C0410017","DISO","Full thickness rotator cuff tear"
"19467","C0418991","PROC","Metered dose inhaler therapy"
"19468","C0452269","PROC","Protein diet"
"19469","Other lab:800062099","Other lab","testosterone, total"
"19470","C0238067","DISO","Colitis, Collagenous"
"19471","C0680038","ACTI","membership"
"19472","C0013720","DISO","Ehlers-Danlos Syndrome"
"19473","C0343161","DISO","Loose body in knee"
"19474","Other lab:1200068868","Other lab","band neutrophils %"
"19475","C0699241","CHEM","Nitrostat"
"19476","C0036782","PROC","Serum Bactericidal Test"
"19477","C0264492","DISO","Chronic respiratory failure"
"19478","C0276096","DISO","Mastitis-metritis-agalactia syndrome"
"19479","C0024301","DISO","Lymphoma, Follicular"
"19480","C0600080","PROC","Stretching exercises"
"19481","Other lab:1000044207","Other lab","ocb #1 (es card)*inact(11-15-10)"
"19482","C0001304","DISO","Acute abscess"
"19483","C0919654","PROC","Prostate examination"
"19484","C0154982","DISO","Other and combined forms of senile cataract"
"19485","C0010290","CHEM","Creatine Kinase MB Isoenzyme"
"19486","C0078433","CHEM","methylphosphonothioic acid S-(2-(bis(1-methylethyl)amino)ethyl) O-ethyl ester"
"19487","C0265326","DISO","Bannayan-Riley-Ruvalcaba Syndrome"
"19488","C0566568","DISO","Eating normal"
"19489","C1719101","DISO","Change in behavioral symptoms"
"19490","C0012050","CHEM","Dibucaine"
"19491","C0112088","CHEM","D-Ala(2)-Met(5)-enkephalinamide"
"19492","C0546540","PROC","Radical mastectomy of right breast"
"19493","C0267937","DISO","Acute recurrent pancreatitis"
"19494","C0369168","DISO","Epithelial Cast Formation"
"19495","Other lab:1000015716","Other lab","urine protein"
"19496","C0457091","DISO","Sputum appearance"
"19497","C0595490","CHEM","Malarone"
"19498","C0701370","CHEM","Habitrol"
"19499","Other lab:800049517","Other lab","uric acid"
"19500","Other lab:1000077582","Other lab","ipf"
"19501","C1096559","DISO","Post biopsy bleeding"
"19502","Other lab:1200010444","Other lab","bands %(thru 6/14/10)"
"19503","Other lab:1200035151","Other lab","ovalocytes"
"19504","Other lab:1000003118","Other lab","albumin-pen"
"19505","C0008920","CHEM","Cleansing Agents"
"19506","C0169100","CHEM","restin"
"19507","C0281351","CHEM","uridine triacetate"
"19508","C0442762","DISO","18-Mar"
"19509","C0559980","DISO","Seen by podiatrist"
"19510","C0720523","CHEM","Four-Way"
"19511","C2230397","DISO","range of motion of wrist"
"19512","C0085090","DISO","Lymphoma, AIDS-Related"
"19513","C0010682","CHEM","Cystine"
"19514","C0016662","DISO","Fractures, Open"
"19515","C0268318","DISO","Cholestasis of pregnancy"
"19516","C1519384","DISO","Tobacco Smoking History"
"19517","C0723948","CHEM","Tucks"
"19518","C0002965","DISO","Angina, Unstable"
"19519","C0178419","DISO","muscle cramps in the calf"
"19520","C0195224","PROC","Anterior colporrhaphy"
"19521","C0267380","DISO","Crohn's disease of the ileum"
"19522","C0027724","PROC","Percutaneous insertion of nephrostomy tube"
"19523","Other lab:800244324","Other lab","urine blood"
"19524","C0151514","DISO","Atrophic condition of skin"
"19525","C0155734","DISO","Atherosclerosis of renal artery"
"19526","C0013832","CHEM","Electrolytes"
"19527","C0497354","DISO","Pleurisy with pleural effusion"
"19528","C0563537","PROC","Mechanical vitrectomy by pars plana approach"
"19529","C0009215","DISO","Allergy to codeine"
"19530","Other lab:800068433","Other lab","urine blood"
"19531","C0019917","DISO","Hordeolum"
"19532","C1319171","DISO","Medication response"
"19533","C0593762","CHEM","Retin-A"
"19534","Other lab:1200052937","Other lab","microscopic done"
"19535","C0806140","PHEN","Flow"
"19536","C0237322","DISO","Tenting - skin"
"19537","C0429770","DISO","Bladder volume"
"19538","C0681405","DISO","Preschool Completion"
"19539","Other lab:1000021680","Other lab","ne# (4-1-10)"
"19540","C0018824","DISO","Heart valve disease"
"19541","Other lab:1200033372","Other lab","leukocyte esterase, urine"
"19542","C0332949","DISO","Overriding structures"
"19543","C0696104","PROC","mineral analysis"
"19544","LOINC:8098-6","LOINC","thyroglobulin ab [units/volume] in serum or plasma"
"19545","C1096630","DISO","Malleolar fracture"
"19546","C0033785","DISO","Pseudarthrosis"
"19547","C0699988","CHEM","Lanoxin"
"19548","C0723110","CHEM","Robitussin"
"19549","C0919581","PROC","Prophylaxis against gastrointestinal ulcer"
"19550","C0442752","DISO","Distance vision 6/12"
"19551","C2349183","CHEM","Colloidal Solution or Suspension Dosage Form"
"19552","C0002804","PROC","Roux-en-Y Anastomosis"
"19553","C0039333","PROC","Task Performance"
"19554","C0339084","DISO","Floppy lid syndrome"
"19555","C0042508","PHEN","Ventricular Ejection Fraction"
"19556","C0483447","CHEM","Polytrim"
"19557","C1962963","DISO","Osteoporosis, CTCAE 3.0"
"19558","Other lab:800229862","Other lab","rdw-sd"
"19559","Other lab:1200022149","Other lab","bands"
"19560","C0033850","CHEM","Psilocybin"
"19561","C0263962","DISO","Olecranon bursitis"
"19562","Other lab:800058915","Other lab","gran %"
"19563","C1741472","CHEM","Nariz"
"19564","C0000765","DISO","Excessive body weight gain"
"19565","C0021745","CHEM","Interferon Type II"
"19566","C0069673","CHEM","osteoclast activating factor"
"19567","C0041970","DISO","Urethral fistula"
"19568","Other lab:1200064551","Other lab","occult blood card #2"
"19569","C0878385","CHEM","Ceretec"
"19570","Other lab:1200106793","Other lab","poikilocytosis"
"19571","C0017785","CHEM","Glutamate Decarboxylase"
"19572","C1263857","DISO","Peripheral axonal neuropathy"
"19573","C0162401","PROC","Differential white blood cell count procedure"
"19574","C0358430","CHEM","Muscle relaxants"
"19575","C0012132","CHEM","Zalcitabine"
"19576","C0375896","DISO","Other specified pre-operative examination"
"19577","C0442757","DISO","4-Mar"
"19578","C0231451","DISO","Hyperextension"
"19579","C0032691","DISO","Intramural calcification of gallbladder"
"19580","RXNORM:693549","RXNORM","twocal"
"19581","Other lab:1200124547","Other lab","rdw-sd"
"19582","Other lab:1200106363","Other lab","tear drop cells"
"19583","C0241229","DISO","Spleen tender"
"19584","C1122962","CHEM","gefitinib"
"19585","Other lab:800064245","Other lab","rouleaux"
"19586","C0432948","DISO","Open wound of face"
"19587","C0201883","PROC","Amylase measurement"
"19588","C0270312","DISO","Gender identity disorder of adulthood"
"19589","C0592163","CHEM","Tegretol XR"
"19590","C1155266","DISO","Inflammatory Response"
"19591","C0034801","CHEM","Opioid Receptor"
"19592","C0589154","PHYS","Memory, Prospective"
"19593","C0746025","DISO","Lumbar spondylolisthesis"
"19594","C1667080","CHEM","sitagliptin phosphate"
"19595","RXNORM:1307404","RXNORM","linaclotide"
"19596","C0085621","DISO","Spastic paralysis"
"19597","C0013473","DISO","Eating Disorders"
"19598","RXNORM:28859","RXNORM","lodoxamide tromethamine"
"19599","Other lab:1000022105","Other lab","ua wbc"
"19600","C0596793","DISO","Intracranial hematoma"
"19601","Other lab:1000103344","Other lab","prealbumin"
"19602","C0344096","PROC","Drainage of abscess"
"19603","C0521302","PROC","Fluid replacement"
"19604","C0721298","CHEM","Lamisil"
"19605","C0218530","CHEM","Rab8 protein"
"19606","C0013142","DISO","Drowning"
"19607","Other lab:800087532","Other lab","testosterone, free (calc)"
"19608","C0403718","DISO","Steinstrasse"
"19609","C2929603","CHEM","Docusate / sennoside B"
"19610","Other lab:1200010598","Other lab","co2"
"19611","C0024588","DISO","Malignant essential hypertension"
"19612","C0156265","DISO","Calculus in diverticulum of bladder"
"19613","C0542313","DISO","Sleep Talking"
"19614","C0591917","CHEM","Oramorph"
"19615","C0236664","DISO","Alcohol-Related Disorders"
"19616","Other lab:1200103215","Other lab","metamyelocyte"
"19617","C0231627","DISO","Step-off"
"19618","C0646142","CHEM","DTID"
"19619","C1298902","DISO","Device status"
"19620","C0303753","CHEM","Flint substance"
"19621","Other lab:800052366","Other lab","pco2 (rapidlab)"
"19622","C0002447","DISO","Amelia"
"19623","C0410601","DISO","Cervical disc disorder with myelopathy"
"19624","C0459423","DISO","Equivocal result"
"19625","LOINC:13965-9","LOINC","homocysteine [moles/volume] in serum or plasma"
"19626","Other lab:1200070515","Other lab","occult blood-ls#3"
"19627","C0003419","CHEM","Antipyretics"
"19628","Other lab:1200119071","Other lab","chol/hdl"
"19629","Other lab:1400073862","Other lab","pco2"
"19630","C0428776","DISO","Cardiac index"
"19631","C0741365","DISO","cysts on back"
"19632","C0347570","DISO","Open wound of knee"
"19633","Other lab:1400074901","Other lab","barbiturates screen,urine"
"19634","C0358490","CHEM","Procaine hydrochloride"
"19635","C0151740","DISO","Intracranial Hypertension"
"19636","Other lab:1400052455","Other lab","creatinine urine"
"19637","Other lab:1000055631","Other lab","br-co2"
"19638","C2104541","DISO","amphetamine dependence in remission"
"19639","C0155162","DISO","Conjunctival concretion"
"19640","C0085167","DISO","Granular cell tumor"
"19641","C0160955","DISO","Contusion of foot"
"19642","C0014392","PROC","Enucleation procedure"
"19643","C0011957","CHEM","Diamines"
"19644","C0162311","DISO","Androgenetic Alopecia"
"19645","C1261323","DISO","Changing job (finding)"
"19646","C0809864","PROC","stress study"
"19647","C0002388","PROC","Alveolectomy"
"19648","C0700509","DISO","Chronic peptic ulcer"
"19649","Other lab:1400014040","Other lab","hepatitis c virus antibody (eci)"
"19650","C0076364","CHEM","thymus factor X"
"19651","C0370197","CHEM","s ANTIBODY"
"19652","C0008359","CHEM","Cholera Vaccine"
"19653","C0723611","CHEM","Teargen II"
"19654","C0718635","CHEM","Aquaphor"
"19655","C0280603","PROC","fluorouracil/methotrexate protocol"
"19656","Other lab:1200030332","Other lab","protein, total (dc'd 2009)"
"19657","C0264967","DISO","Aneurysm of internal carotid artery"
"19658","C2936904","DISO","Opitz GBBB Syndrome, X-Linked"
"19659","C0560788","DISO","Ability to stand"
"19660","C0866710","DISO","Acquired hallux varus"
"19661","C0003999","CHEM","Aspartame"
"19662","C0025326","CHEM","Menotropins"
"19663","C2148466","PROC","dialysate infusion period"
"19664","C0007860","DISO","Uterine Cervicitis"
"19665","C0040127","DISO","Thyroid Crisis"
"19666","C0420338","DISO","Follow-up 1 year"
"19667","C0452286","PROC","Fat controlled diet"
"19668","C0574780","DISO","Wound dirty"
"19669","C0728936","DISO","Disorder of circulatory system"
"19670","Other lab:1200011793","Other lab","a/g ratio"
"19671","C0870663","ACTI","Honest"
"19672","C0432667","DISO","Injury of thoracic spine"
"19673","C0240807","DISO","PROGRESSIVE SYMPTOMS"
"19674","C1444650","DISO","Not needed"
"19675","Other lab:1200035177","Other lab","ptt ctrl"
"19676","C0140283","CHEM","Retinoid X Receptors"
"19677","C0301421","CHEM","Witch Hazel"
"19678","C0055465","CHEM","chlorozotocin"
"19679","C0296800","CHEM","fexofenadine"
"19680","C0401157","DISO","Intermittent vomiting"
"19681","Other lab:800011251","Other lab","testosterone, total"
"19682","C0193158","PROC","Anoscopy"
"19683","C0578671","DISO","Does move"
"19684","Other lab:1400050221","Other lab","estimate average glucose"
"19685","C0104489","CHEM","AT 1840"
"19686","C0455865","PHEN","Right ventricular cavity size"
"19687","C0268785","DISO","Salt-losing nephropathy"
"19688","C0747141","PROC","pain chronic management"
"19689","C0149889","DISO","Anorectal fistula"
"19690","C0021572","CHEM","Insect Repellents"
"19691","C0032582","CHEM","Polypropylenes"
"19692","C0301571","PROC","Liquid diet"
"19693","C0023896","DISO","Alcoholic Liver Diseases"
"19694","Other lab:800036033","Other lab","microcytosis"
"19695","C1306570","DISO","Cold Injury"
"19696","Other lab:1000086462","Other lab","protein random urine(..7/19)*ia"
"19697","C0359082","CHEM","Nystatin / Triamcinolone"
"19698","Other lab:1200030328","Other lab","calcium (dc'd 2009)"
"19699","Other lab:1400073369","Other lab","homocysteine (blood)"
"19700","C0184905","PROC","Bisection"
"19701","C2911663","DISO","Encounter due to homelessness"
"19702","C0728757","CHEM","Sinequan"
"19703","C0033972","PROC","Psychotherapy, Multiple"
"19704","C0122592","CHEM","GHR protein, human"
"19705","C0232305","PHEN","Electrocardiogram: right ventricle hypertrophy (finding)"
"19706","C0025617","CHEM","Methane"
"19707","C0518087","DISO","Pain level"
"19708","C0240873","DISO","Rectal mass"
"19709","RXNORM:203191","RXNORM","metoprolol tartrate"
"19710","C0701413","CHEM","Sol brand of Polymethyl Methacrylate"
"19711","C0678162","CHEM","Pulmicort"
"19712","C0426183","DISO","Head engaged"
"19713","C0016640","PROC","Chemical fractionation"
"19714","C0562383","DISO","Victim of physical abuse"
"19715","C0740418","DISO","Chronic back pain"
"19716","C0016234","PROC","Flexible fiberoptic sigmoidoscopy"
"19717","C0920063","DISO","Uric acid high"
"19718","C0424811","DISO","Leg swelling symptom"
"19719","C0054967","CHEM","CD6 antigen"
"19720","LOINC:13327-2","LOINC","parainfluenza virus ag [presence] in specimen by immunofluorescence"
"19721","C0858147","PROC","Plasma Phosphate Test"
"19722","C0220996","DISO","Infantile scurvy"
"19723","C0558159","DISO","Pressure ulcer of sacral region"
"19724","C0595995","DISO","Idiopathic scoliosis"
"19725","C0345958","DISO","Large cell carcinoma of lung"
"19726","C0011142","PHYS","Defense Mechanisms"
"19727","Other lab:1000056456","Other lab","occult blood (fit) #1 of 3"
"19728","C0028606","CHEM","Nucleic Acids"
"19729","C0156193","DISO","Other sequelae of chronic liver disease"
"19730","C0392095","DISO","Encounter due to heart transplant status"
"19731","C2128452","DISO","white discoloration of toenail"
"19732","C0699524","CHEM","Betadine"
"19733","RXNORM:314684","RXNORM","injection, insulin, per 5 units"
"19734","C0565255","PROC","Cystoprostatectomy"
"19735","C0850624","DISO","cardiovascular risk factor"
"19736","C0260520","DISO","Encounter due to family history of ischemic heart disease"
"19737","C0920263","PROC","Wound drainage procedure"
"19738","C0058031","CHEM","Dihematoporphyrin Ether"
"19739","C1302313","DISO","Lost to Follow-Up"
"19740","C0048470","CHEM","argatroban"
"19741","C0849088","PROC","Test, cytology, digestive"
"19742","C0065465","PROC","cyclophosphamide/dactinomycin/methotrexate protocol"
"19743","C0007656","PROC","Cementation"
"19744","C0008313","DISO","Cholangitis, Sclerosing"
"19745","C0578159","DISO","Antibiotic-associated diarrhea"
"19746","LOINC:7798-2","LOINC","smudge cells [presence] in blood by light microscopy"
"19747","C0678171","CHEM","Pentasa"
"19748","C0858531","DISO","Oedema-like"
"19749","C1699911","CHEM","Omeprazole / Sodium Bicarbonate"
"19750","Other lab:800067226","Other lab","hco3 (poc)"
"19751","C0141975","CHEM","senekot"
"19752","C2136984","DISO","ENT surgical result - nose nasal congestion"
"19753","C0259860","DISO","psychiatric emergencies"
"19754","C0149892","DISO","Parulis"
"19755","Other lab:1400071268","Other lab","fo2hb (r)"
"19756","C0192210","PROC","Pharyngeal biopsy"
"19757","C0007772","DISO","Intracranial Arteriovenous Malformation"
"19758","C0445118","DISO","Nephrotic range proteinuria"
"19759","C0236806","DISO","PCP dependence"
"19760","C0406458","DISO","Diffuse alopecia"
"19761","C0018552","DISO","Hamartoma"
"19762","C2183254","DISO","Diagnostic service sources - radiology labs interventional"
"19763","C0868908","DISO","Pancolitis"
"19764","C0031707","DISO","Phosphorus Metabolism Disorders"
"19765","Other lab:1400000146","Other lab","protein,total"
"19766","Other lab:1000031670","Other lab","atypical lymphs"
"19767","C0035127","DISO","Cumulative Trauma Disorders"
"19768","Other lab:1000101411","Other lab","urine urobilinogen"
"19769","C0280249","DISO","stage, small cell lung cancer"
"19770","C0848632","DISO","mortems post"
"19771","C0278488","DISO","Carcinoma breast stage IV"
"19772","RXNORM:141704","RXNORM","everolimus"
"19773","C0267561","DISO","Perianal fistula"
"19774","C0150627","PROC","Guided imagery"
"19775","C2030935","DISO","highest level of education completed"
"19776","C0870186","PHYS","Avoidance"
"19777","C0065864","CHEM","medroxyprogesterone acetate"
"19778","C0004310","DISO","Auditory Perceptual Disorders"
"19779","C0042111","DISO","Urticaria Pigmentosa"
"19780","C0021735","CHEM","Interferon Alfa-2b"
"19781","C0186662","PROC","Arthroplasty of the shoulder (procedure)"
"19782","C0432762","DISO","Contusion of forearm"
"19783","Other lab:1200084270","Other lab","eag"
"19784","C0038362","DISO","Stomatitis"
"19785","C0441550","PROC","Press-fit component fixation"
"19786","C0239138","DISO","Hip joint varus deformity - observation"
"19787","C0473583","DISO","Nevus elasticus"
"19788","C0745406","DISO","Iron saturation decreased"
"19789","Other lab:800040215","Other lab","ur glu"
"19790","C2126375","DISO","Red rash"
"19791","C0560789","DISO","Able to stand up"
"19792","C0939725","CHEM","Septocaine"
"19793","C0023985","PROC","Loop ileostomy"
"19794","C0496695","DISO","Encounter due to problems related to other legal circumstances"
"19795","C0244404","CHEM","Raloxifene"
"19796","C0848642","DISO","sacroilitis"
"19797","C0037862","CHEM","Spermatocidal Agents"
"19798","C0042907","DISO","Vitreous Detachment"
"19799","C0574762","DISO","Hair present"
"19800","C0012893","CHEM","DNA Probes"
"19801","C0575158","DISO","Kyphoscoliosis deformity of spine"
"19802","C0013608","DISO","Edema, Cardiac"
"19803","RXNORM:5552","RXNORM","hydroxyurea"
"19804","C0332803","DISO","Surgical wound"
"19805","C0446293","CHEM","Privet fruit preparation"
"19806","C0268360","DISO","Osteogenesis imperfecta, recessive perinatal lethal"
"19807","C0073186","CHEM","rhoB GTP-Binding Protein"
"19808","C1176468","PROC","Erythrocyte sedimentation rate measurement"
"19809","C0375242","DISO","Causalgia of lower limb"
"19810","C0024214","DISO","Lymphangiectasis"
"19811","C0242594","DISO","Residual Cancer"
"19812","C0042670","CHEM","Vinblastine"
"19813","C0038126","CHEM","Stainless Steel"
"19814","C0079366","PROC","Fluorescence-Activated Cell Sorting"
"19815","C0751531","DISO","Subclavian Steal"
"19816","Other lab:1000015681","Other lab","occult blood,feces 1"
"19817","LOINC:8116-6","LOINC","cd19 cells [#/volume] in blood"
"19818","C0060828","CHEM","Fumarylacetoacetase"
"19819","C0023115","CHEM","Latex"
"19820","Other lab:1400073799","Other lab","protein,urine"
"19821","C0583557","DISO","Seen by cardiologist"
"19822","C0721614","CHEM","Maxzide-25"
"19823","C0020941","DISO","Immersion Foot"
"19824","C0202951","PROC","Femoral angiography"
"19825","C0913246","CHEM","valdecoxib"
"19826","C0519955","PROC","Psychiatric diagnostic interview examination"
"19827","Other lab:1400013142","Other lab","uric acid crystals"
"19828","C0077281","CHEM","Tris(2,3-dibromopropyl) Phosphate"
"19829","Other lab:800077527","Other lab","phenytoin, total"
"19830","CCS:24","CCS","mastoidectomy"
"19831","Other lab:1200058828","Other lab","ur urobilinogen(dced 6.22.10"
"19832","C0948769","PROC","Hepatitis C screening"
"19833","Other lab:1400047815","Other lab","atypical lymphocytes"
"19834","RXNORM:605203","RXNORM","chondroitin/glucosamine"
"19835","C0272612","DISO","Fracture of shaft of humerus"
"19836","RXNORM:70727","RXNORM","fiber"
"19837","C0592769","CHEM","clear ear"
"19838","C0177646","PROC","Amputation of finger, except thumb (procedure)"
"19839","Other lab:1200023919","Other lab","ldl/hdl ratio (5/93-5/04)"
"19840","C0723361","CHEM","Skin Care brand of emollients"
"19841","C0163702","CHEM","NS-3"
"19842","C0007738","CHEM","Cephradine"
"19843","Other lab:1000090543","Other lab","urine protein(...12/18)*ne"
"19844","C0699203","CHEM","Motrin"
"19845","C0592238","CHEM","Vagifem"
"19846","C0581126","DISO","Severe asthma"
"19847","Other lab:1200006570","Other lab","polychromasia"
"19848","C0428396","PHEN","Cortisol level"
"19849","C0070093","CHEM","Teriparatide"
"19850","PheCode:622.1","PheCode","polyp of corpus uteri"
"19851","Other lab:1400055746","Other lab","urine glucose"
"19852","C0032807","DISO","Postphlebitic Syndrome"
"19853","Other lab:1000033499","Other lab","leukocyte esterase"
"19854","C0426763","DISO","Anal sphincter tone"
"19855","C0085144","CHEM","Autocrine Motility Factor"
"19856","C0424672","DISO","Body mass index 25-29 - overweight"
"19857","C0741011","DISO","ANEMIA SYMPTOMATIC"
"19858","C0067033","CHEM","Myeloblastin"
"19859","C0012341","CHEM","Iodoquinol"
"19860","C0290372","CHEM","CPLX inhibitor"
"19861","C0282356","CHEM","Sulfacetamide Sodium"
"19862","C0037834","DISO","Speech, Esophageal"
"19863","C0149776","DISO","Shoulder Injuries"
"19864","C0176813","PROC","Percutaneous endoscopic jejunostomy [PEJ]"
"19865","C0439053","DISO","fatigue - symptom"
"19866","C0235304","DISO","Acid indigestion"
"19867","C0038354","DISO","Stomach Diseases"
"19868","Other lab:1000005843","Other lab","leukocyte esterase, urine"
"19869","C0184647","PROC","Mental health treatment"
"19870","RXNORM:705071","RXNORM","thickenup"
"19871","C0747249","DISO","Paranoid ideation"
"19872","Other lab:800078397","Other lab","occult blood - card #3"
"19873","C0460073","PHEN","Sample clotted"
"19874","C0728707","CHEM","Expectorant brand of guaifenesin"
"19875","C0721436","CHEM","Lotensin"
"19876","C0005138","DISO","Berylliosis"
"19877","C0013426","DISO","Dystrophy of vulva"
"19878","Other lab:800059138","Other lab","ur protein"
"19879","C0380447","CHEM","montelukast sodium"
"19880","C0047845","CHEM","gaboxadol"
"19881","Other lab:1400013191","Other lab","protein,total"
"19882","C0273444","DISO","Crushing injury of hand"
"19883","Other lab:1400564909","Other lab","absolute granulocytes"
"19884","C0581283","PROC","Injection into lumbar epidural space"
"19885","LOINC:11050-2","LOINC","kappa light chains [mass/volume] in serum or plasma"
"19886","C0732355","CHEM","Rituxan"
"19887","C0937428","CHEM","NICOTINE 10MG/CART ORAL INHL 168/KIT"
"19888","Other lab:1000099498","Other lab","urine wbc clump"
"19889","C0556497","PROC","Skin care management"
"19890","C0037036","DISO","Sialorrhea"
"19891","C0027822","DISO","Neurodermatitis"
"19892","RXNORM:692199","RXNORM","syringe,toomey"
"19893","C0157736","DISO","Other specified diseases of sebaceous glands"
"19894","Other lab:1000049073","Other lab","rbc morphology"
"19895","C0848454","DISO","Uterine carcinoma"
"19896","C0948710","DISO","Ureteropelvic junction obstruction NOS"
"19897","Other lab:1200068812","Other lab","occult blood #2"
"19898","C0679115","PHYS","Passion"
"19899","Other lab:1400057591","Other lab","troponin i (poc)(dc'd 10/8/18)"
"19900","Other lab:1400053597","Other lab","pco2 (r)"
"19901","RXNORM:465711","RXNORM","ciprofloxacin/hydrocortisone"
"19902","C0078805","CHEM","Zincon"
"19903","C0201945","PROC","Cerebrospinal fluid protein electrophoresis"
"19904","C0151560","PROC","Central nervous system stimulation (procedure)"
"19905","C1274470","DISO","Onychomycosis of toenails"
"19906","C0066317","CHEM","methylallyl trisulfide"
"19907","C0057753","CHEM","diazonaphthalenedisulfonic acid"
"19908","C0387008","CHEM","TM 1"
"19909","C0233624","DISO","Cheilophagia"
"19910","Other lab:1200022447","Other lab","urine glucose"
"19911","C0740380","DISO","Varicella zoster"
"19912","C0282107","CHEM","Clomipramine Hydrochloride"
"19913","C0017324","PHYS","Generalization, Psychological"
"19914","RXNORM:693515","RXNORM","reservoir,minimed"
"19915","Other lab:800040706","Other lab","alpha 2 fraction"
"19916","C0268799","DISO","Acquired renal cystic disease"
"19917","C0156093","DISO","Acute appendicitis with peritoneal abscess (disorder)"
"19918","RXNORM:225852","RXNORM","leucovorin calcium"
"19919","Other lab:1400009220","Other lab","plt (estm)"
"19920","C0558629","PROC","Renal lithotripsy"
"19921","C0679215","PHEN","health and disease"
"19922","Other lab:1200094819","Other lab","oxidants, urine"
"19923","Other lab:1200012305","Other lab","ana(hep-2)"
"19924","C0578994","DISO","Unpleasant taste in mouth"
"19925","RXNORM:194731","RXNORM","biotene"
"19926","Other lab:1000029031","Other lab","o2 sat (pre 4/25/18)"
"19927","C0403701","DISO","Injury of urethra"
"19928","C0150084","DISO","Altered thought processes"
"19929","C0360513","CHEM","testosterone patch"
"19930","Other lab:1200060478","Other lab","urine blood"
"19931","C0577256","DISO","Swollen prostate"
"19932","C0034414","CHEM","Quinidine"
